"id(l)","id(a)"
"Crypto Atoms","0x9b3554e6fc4f81531f6d43b611258bd1058ef6d5"
"Phishing/Hacking","0x525a963eda51fb3a36730b3c3214946c6a137f55"
"DEX","0xdac17f958d2ee523a2206206994597c13d831ec7"
"CurveFi","0xdac17f958d2ee523a2206206994597c13d831ec7"
"Nerve","0xdac17f958d2ee523a2206206994597c13d831ec7"
"Fake Project Scam","0x8FfcC8863C590674544B1bbE0D194C2Aa5111127"
"Authereum","0x6dcc6577650bbf5b70e9eee7cfd1364410867206"
"Phishing/Hacking","0xbFCeffC807C6CbFB27C46bb18Ec32fb484d9c6c8"
"Phishing/Hacking","0x2306934ca884caa042dc595371003093092b2bbf"
"Rari Capital","0xe4dee94233dd4d7c2504744ee6d34f3875b3b439"
"Aave","0xfffe32106a68aa3ed39ccce673b646423eeab62a"
"Phishing/Hacking","0x673410c5bc3210a245184058c0659017c11388d4"
"Phishing/Hacking","0xe74265ed2e59abea4a0ca22a224538f9e0a33f61"
"Company Funds","0xbea52413e26c38b51cbcb0d3661a25f2097f8574"
"Sparkle Loyalty","0xbea52413e26c38b51cbcb0d3661a25f2097f8574"
"Tokenlon","0x9afc226dc049b99342ad6774eeb08bfa2f874465"
"Phishing/Hacking","0x500cacdb6de457cca61f615cdb61d913ddf04d6f"
"Phishing/Hacking","0x33f6ee23ee223c4558a95bf4c0e9f5ed21e06319"
"Cream Finance","0xdfff11dfe6436e42a17b86e7f419ac8292990393"
"COSS.io","0x43f07efe28e092a0fe4ec5b5662022b461ffac80"
"Exchange","0x43f07efe28e092a0fe4ec5b5662022b461ffac80"
"Phishing/Hacking","0x2b03c37faff05f3935d1c7edc96132b80c174040"
"Value DeFi","0xfbea9d9e4c13f56bb6ba7d5cbb814ff2c8c5c4a5"
"mStable","0x8f2326316ec696f6d023e37a9931c2b2c177a3d7"
"Phishing/Hacking","0x414bca672494b8f078112c52ae258f9e8de1a4a0"
"Blackmail","0x5b0BA1030c95335B934EcFf91bb38cB963c82e51"
"Phishing/Hacking","0x59f698abe43d2a9eccb2e93e4083c35e8bb34363"
"Phishing/Hacking","0xc2d1f55ae3a930d4fc6222691ef3a2ef9dbef1f8"
"Phishing/Hacking","0x74fe63027ccd88f9cffe4255fdf2075243582ce3"
"Phishing/Hacking","0x8e8f4161c9c3d2d8857230a048df1fc6f4326948"
"OFAC","0x1E34A77868E19A6647b1f2F47B51ed72dEDE95DD"
"Government Criminal Blacklist","0x1E34A77868E19A6647b1f2F47B51ed72dEDE95DD"
"Open Sea","0x0000000031f7382a812c64b604da4fc520afef4b"
"Gem","0x0000000031f7382a812c64b604da4fc520afef4b"
"Marketplace","0x0000000031f7382a812c64b604da4fc520afef4b"
"Phishing/Hacking","0x2f3adfd0d399e3fafc4bea9b70048acafd939c55"
"OKX","0xf59869753f41db720127ceb8dbb8afaf89030de4"
"Phishing/Hacking","0xf36965e734ce6f1abe3b66f0f819b3a8a9bd547c"
"Phishing/Hacking","0x6f41ff797795cdb4f8bf078999148ee22df1963b"
"Hop Protocol","0xd8781ca9163e9f132a4d8392332e64115688013a"
"Phishing/Hacking","0x1241036dfbab88302b4134f24eab8749cd423c22"
"Phishing/Hacking","0x75f39ce7fc5d94361437d103a3334ffae6c0b2e5"
"Super Rare","0x8c9f364bf7a56ed058fc63ef81c6cf09c833e656"
"Phishing/Hacking","0x2854b3206f3078ed6375da6190c40e6231259a45"
"Phishing/Hacking","0x9ac7d478d9ae23fc2fc6e34240dc7ace5d079a28"
"NFT Airdrop Scam","0xb3De47DC1cd956fD54B7c2Cdab7debfc6570C417"
"Phishing/Hacking","0xf5f676500025bba3639b75b184c6263643552aae"
"Yam Finance","0x587a07ce5c265a38dd6d42def1566ba73eeb06f5"
"Yield Farming","0x587a07ce5c265a38dd6d42def1566ba73eeb06f5"
"Buidl Guidl Builders","0x5abb06dc717cbe8112eff232a6dfc98cb521511d"
